event_id,timestamp_utc,institution_id,transaction_id,fraud_score,prediction,flagged,threshold,status
900bfada616954c6,2026-09-14T17:57:46.373526+00:00,INSTITUTION_A,txn_000,0.37454,licit,False,0.5,CLEAR
77bd95cdf4a30b34,2026-09-14T17:57:46.373575+00:00,INSTITUTION_A,txn_001,0.950714,illicit,True,0.5,ALERT_RAISED
e75941afd41bce41,2026-09-14T17:57:46.373590+00:00,INSTITUTION_A,txn_002,0.731994,illicit,True,0.5,ALERT_RAISED
dacf7893916086ca,2026-09-14T17:57:46.373601+00:00,INSTITUTION_A,txn_003,0.598658,illicit,True,0.5,ALERT_RAISED
32fca07bc0bb04d1,2026-09-14T17:57:46.373611+00:00,INSTITUTION_A,txn_004,0.156019,licit,False,0.5,CLEAR
2fb18d9d9b74b633,2026-09-14T17:57:46.373619+00:00,INSTITUTION_A,txn_005,0.155995,licit,False,0.5,CLEAR
fda1024232edf29e,2026-09-14T17:57:46.373627+00:00,INSTITUTION_A,txn_006,0.058084,licit,False,0.5,CLEAR
08e358c25d7aea7f,2026-09-14T17:57:46.373635+00:00,INSTITUTION_A,txn_007,0.866176,illicit,True,0.5,ALERT_RAISED
bb1ed4b5a67f4e50,2026-09-14T17:57:46.373643+00:00,INSTITUTION_A,txn_008,0.601115,illicit,True,0.5,ALERT_RAISED
2097bd3e5e13596c,2026-09-14T17:57:46.373652+00:00,INSTITUTION_A,txn_009,0.708073,illicit,True,0.5,ALERT_RAISED
6f38f77d0d2f5075,2026-09-14T18:41:51.141652+00:00,INSTITUTION_A,txn_164685,0.449224,licit,False,0.5,CLEAR
f49a5f3b64b4e3ec,2026-09-14T18:41:51.141696+00:00,INSTITUTION_A,txn_164691,0.003361,licit,False,0.5,CLEAR
3da32be752ce934b,2026-09-14T18:41:51.141714+00:00,INSTITUTION_A,txn_164696,7e-06,licit,False,0.5,CLEAR
3c11e8084dad7ae6,2026-09-14T18:41:51.141725+00:00,INSTITUTION_A,txn_164698,0.048199,licit,False,0.5,CLEAR
14b12edb507b4e8c,2026-09-14T18:41:51.141735+00:00,INSTITUTION_A,txn_164699,0.262237,licit,False,0.5,CLEAR
bde29414d75450dc,2026-09-14T18:41:51.141746+00:00,INSTITUTION_A,txn_164701,0.408565,licit,False,0.5,CLEAR
d41354c37df9eb93,2026-09-14T18:41:51.141755+00:00,INSTITUTION_A,txn_164702,0.128075,licit,False,0.5,CLEAR
1284ffeb1a4e7436,2026-09-14T18:41:51.141764+00:00,INSTITUTION_A,txn_164708,0.360142,licit,False,0.5,CLEAR
1c2da7944cf0d310,2026-09-14T18:41:51.141773+00:00,INSTITUTION_A,txn_164710,0.398616,licit,False,0.5,CLEAR
ea1148521ca1cfcf,2026-09-14T18:41:51.141782+00:00,INSTITUTION_A,txn_164717,0.008794,licit,False,0.5,CLEAR
49e965f20619bd63,2026-09-14T18:41:51.141791+00:00,INSTITUTION_A,txn_164731,0.350005,licit,False,0.5,CLEAR
d5afb6a574dcf1dc,2026-09-14T18:41:51.141801+00:00,INSTITUTION_A,txn_164732,0.028545,licit,False,0.5,CLEAR
499b99ca9654aec5,2026-09-14T18:41:51.141809+00:00,INSTITUTION_A,txn_164736,0.070825,licit,False,0.5,CLEAR
4e258654c03f8fe5,2026-09-14T18:41:51.141818+00:00,INSTITUTION_A,txn_164746,0.048065,licit,False,0.5,CLEAR
a4ebf74aed72d40a,2026-09-14T18:41:51.141827+00:00,INSTITUTION_A,txn_164753,0.099203,licit,False,0.5,CLEAR
0d19cb93f8d1935a,2026-09-14T18:41:51.141836+00:00,INSTITUTION_A,txn_164763,0.092049,licit,False,0.5,CLEAR
67c260696948807a,2026-09-14T18:41:51.141845+00:00,INSTITUTION_A,txn_164765,0.267173,licit,False,0.5,CLEAR
296cd79f92ae167f,2026-09-14T18:41:51.141854+00:00,INSTITUTION_A,txn_164767,0.189411,licit,False,0.5,CLEAR
eb9f1497bb10e5ac,2026-09-14T18:41:51.141864+00:00,INSTITUTION_A,txn_164773,0.687504,illicit,True,0.5,ALERT_RAISED
7e2e6ad3f5f7729c,2026-09-14T18:41:51.141874+00:00,INSTITUTION_A,txn_164774,0.704245,illicit,True,0.5,ALERT_RAISED
