txId1,txId2
10278231,163809013
102614111,168218829
163670715,168147351
163830665,163830659
166489983,166489984
168147831,126049772
163687281,41274750
19464327,163678943
163712254,163832330
166073406,163670754
163901553,163901550
163694297,163828447
163593980,163593975
123934633,163817888
163687130,163807970
163701817,163885895
166070349,164412870
167129269,168124206
128622661,163869666
163737480,142542756
163586440,142611854
165862490,166082754
165875954,165876294
56939285,168175194
163629829,163629834
163586165,163896734
163710146,163867966
165837511,4696912
163681370,164729391
35982595,80352165
163678726,163678530
166494896,163817917
163595946,163670721
34699515,34678097
163592537,163592533
153721293,163810729
6720779,168115131
168103523,166133708
148094014,167711130
161374428,163828447
163592236,163879834
163819495,163819493
105416913,168150942
163670734,133544440
163734016,163734005
168131739,166491722
163651194,163651192
163651952,166489965
163744127,166526770
166495446,163815888
163725991,163832330
163810144,163810481
163866969,163866979
163651196,164122098
163653265,163653264
128930350,20786151
163687919,163687685
166471055,167654663
163584358,166067288
163862205,168158009
136579658,39944519
163704791,163892576
163685462,163685458
4232201,164149211
165853723,165853728
163693743,163804154
163746034,163745884
166072787,164412870
163733966,163846705
69587579,163895318
163682675,163735402
163649282,163687205
165838025,163711545
163824665,163824318
163832323,163832295
165889085,165889086
163889383,163889387
163863527,163863506
22373564,163892460
163708851,163708854
163680382,163828447
163649357,163687584
163705613,163879834
3222249,166080421
163654643,163654533
166077407,166083311
23308684,163804154
42156855,166526770
166502192,168115599
163819776,163821076
163656773,163833384
163896041,166521560
167749853,166508290
163809520,163809013
163802950,163802941
163655547,163655544
163600381,166526431
4232201,164105596
163826396,37018824
163653538,163653536
163693802,163876058
165851172,164186145
163862208,163685462
166507364,167129272
163688505,163805794
163735068,163829977
163654860,163849777
163694210,163879834
23881442,157319250
163815667,163815638
163864640,163864628
13770911,163670753
163666646,163666652
163710140,163867966
168113708,168114003
166071318,166071322
165867231,163652365
163829174,163828447
163734088,163734076
163692451,163692459
163708422,163708425
163734922,163735631
163654552,163654533
164376970,166081729
163883199,163879834
163650091,163832331
163864986,163865134
163810601,163832295
163591389,163701821
31822981,163843547
163618979,163858834
163670735,163670571
163901909,163901912
163705924,163832320
163864817,163908343
75486120,163909216
97748671,163809013
165857579,163681988
163655918,163832330
163889968,163889959
163729578,165837192
164089672,163704813
163680706,163689937
163653145,163653048
165869274,163909490
84810,163867656
168116453,168116458
163653384,166490471
163651610,163651655
163666641,163666646
166499687,163817810
48202347,36587040
163833405,163834061
130004858,163809013
165890823,163670753
163650318,163826181
163711925,163867629
166133896,44138313
163737228,166505853
165837192,165837200
163737480,163737483
163649658,164122932
168218244,168218829
164760770,58371716
165848745,56985667
60066228,163733131
165838723,165838725
103912881,163820063
163734390,163734386
163830204,163828447
20791995,163807949
163705416,163824318
23308684,166508233
163721266,164292724
163666652,6926891
163676593,163676870
166519193,166814046
165850175,163585655
163886867,163886862
163734086,163734076
163849752,163893301
163806321,163806318
166065753,92643357
11797016,163867271
163708457,163828447
163867302,163867307
163707933,163843547
163708854,163846705
163832332,163832295
163689241,163867639
164118555,163832331
165850728,165851219
163705671,163804154
163652625,163652623
165857579,163823983
168165737,164903664
163819487,163819491
165837296,165853601
166075224,166509615
163825493,163824318
163832320,163832295
163737476,163808132
163809512,163809013
163585504,166081947
166072790,56397284
163654675,163654533
163631039,91665078
163683471,48863516
163631048,91665078
163708046,40937342
166519455,166519459
166507034,163832331
165858806,163649282
166503565,163849777
163680706,163680641
